District,Sub-district,Village
Alappuzha,Cherthala,Arookutty (Ct)
Alappuzha,Cherthala,Aroor (Ct)
Alappuzha,Cherthala,Arthunkal
Alappuzha,Cherthala,Cherthala North (Part)
Alappuzha,Cherthala,Cherthala South (Part)
Alappuzha,Cherthala,Ezhupunna (Ct)
Alappuzha,Cherthala,Kadakkarappally
Alappuzha,Cherthala,Kanjikkuzhi (Ct)
Alappuzha,Cherthala,Kodamthuruth (Ct)
Alappuzha,Cherthala,Kokkothamangalam (Ct)
Alappuzha,Cherthala,Kuthiathode (Ct)
Alappuzha,Cherthala,Mararikkulam North
Alappuzha,Cherthala,Pallippuram (Ct)
Alappuzha,Cherthala,Panavally
Alappuzha,Cherthala,Pattanakkad
Alappuzha,Cherthala,Perumbalam
Alappuzha,Cherthala,Thaikattussery (Ct)
Alappuzha,Cherthala,Thanneermukkam North(Ct)
Alappuzha,Cherthala,Thanneermukkam South
Alappuzha,Cherthala,Thuravoor Thekku
Alappuzha,Cherthala,Vayalar (Ct)
Alappuzha,Ambalappuzha,Alappuzha West
Alappuzha,Ambalappuzha,Ambalappuzha
Alappuzha,Ambalappuzha,Ambalappuzha North
Alappuzha,Ambalappuzha,Aryad South (Part)
Alappuzha,Ambalappuzha,Kalavoor
Alappuzha,Ambalappuzha,Karumady
Alappuzha,Ambalappuzha,Komalapuram (Ct)
Alappuzha,Ambalappuzha,Mannanchery (Ct)
Alappuzha,Ambalappuzha,Mullakkal (Part)
Alappuzha,Ambalappuzha,Paravoor
Alappuzha,Ambalappuzha,Pathirappally (Ct)
Alappuzha,Ambalappuzha,Pazhaveedu
Alappuzha,Ambalappuzha,Punnapra (Og)
Alappuzha,Ambalappuzha,Purakkad
Alappuzha,Kuttanad,Champakkulam
Alappuzha,Kuttanad,Edathua
Alappuzha,Kuttanad,Kainakary North
Alappuzha,Kuttanad,Kainakary South
Alappuzha,Kuttanad,Kavalam
Alappuzha,Kuttanad,Kunnumma
Alappuzha,Kuttanad,Muttar
Alappuzha,Kuttanad,Nedumudi
Alappuzha,Kuttanad,Neelamperoor
Alappuzha,Kuttanad,Pulinkunnu
Alappuzha,Kuttanad,Ramankary
Alappuzha,Kuttanad,Thakazhy
Alappuzha,Kuttanad,Thalavady
Alappuzha,Kuttanad,Veliyanad
Alappuzha,Karthikappally,Arattupuzha
Alappuzha,Karthikappally,Cheppad (Ct)
Alappuzha,Karthikappally,Cheruthana
Alappuzha,Karthikappally,Chingoli (Ct)
Alappuzha,Karthikappally,Haripad (Ct)
Alappuzha,Karthikappally,Kandalloor (Ct)
Alappuzha,Karthikappally,Karthikappally (Ct)
Alappuzha,Karthikappally,Karuvatta
Alappuzha,Karthikappally,Kayamkulam
Alappuzha,Karthikappally,Keerikkad (Ct)
Alappuzha,Karthikappally,Krishnapuram (Ct)
Alappuzha,Karthikappally,Kumarapuram (Ct)
Alappuzha,Karthikappally,Muthukulam (Ct)
Alappuzha,Karthikappally,Pallippad
Alappuzha,Karthikappally,Pathiyoor (Ct)
Alappuzha,Karthikappally,Puthuppally (Ct)
Alappuzha,Karthikappally,Thrikkunnapuzha
Alappuzha,Karthikappally,Veeyapuram
Alappuzha,Chengannur,Ala (Part)
Alappuzha,Chengannur,Chengannur (Part)
Alappuzha,Chengannur,Cheriyanad
Alappuzha,Chengannur,Ennakkad
Alappuzha,Chengannur,Kurattissery (Ct)
Alappuzha,Chengannur,Mannar (Ct)
Alappuzha,Chengannur,Mulakuzha (Part)
Alappuzha,Chengannur,Pandanad (Part)
Alappuzha,Chengannur,Puliyoor(Part)
Alappuzha,Chengannur,Thiruvanvandoor
Alappuzha,Chengannur,Venmony
Alappuzha,Mavelikkara,Bharanikkavu (Ct)
Alappuzha,Mavelikkara,Chennithala (Ct)
Alappuzha,Mavelikkara,Chunakkara
Alappuzha,Mavelikkara,Kannamangalam (Ct)
Alappuzha,Mavelikkara,Kattanam (Ct)
Alappuzha,Mavelikkara,Mavelikkara
Alappuzha,Mavelikkara,Noornad
Alappuzha,Mavelikkara,Palamel
Alappuzha,Mavelikkara,Perungala
Alappuzha,Mavelikkara,Thamarakkulam
Alappuzha,Mavelikkara,Thazhakara (Ct)
Alappuzha,Mavelikkara,Thekkekara (Part)
Alappuzha,Mavelikkara,Thriperumthura
Alappuzha,Mavelikkara,Vallikunnam
Alappuzha,Mavelikkara,Vettiyar
Ernakulam,Kunnathunad,Aikaranad North
Ernakulam,Kunnathunad,Aikaranad South
Ernakulam,Kunnathunad,Arakapady
Ernakulam,Kunnathunad,Asamannoor
Ernakulam,Kunnathunad,Chelamattom (Ct)
Ernakulam,Kunnathunad,Irapuram
Ernakulam,Kunnathunad,Kizhakkambalam
Ernakulam,Kunnathunad,Kodanad
Ernakulam,Kunnathunad,Kombanad
Ernakulam,Kunnathunad,Koovappady (Ct)
Ernakulam,Kunnathunad,Kunnathunad (Ct)
Ernakulam,Kunnathunad,Marampilly(Ct)
Ernakulam,Kunnathunad,Mazhuvannoor
Ernakulam,Kunnathunad,Pattimattom
Ernakulam,Kunnathunad,Perumbavoor (Ct)
Ernakulam,Kunnathunad,Puthencruz (Ct)
Ernakulam,Kunnathunad,Rayamangalam
Ernakulam,Kunnathunad,Thiruvaniyoor
Ernakulam,Kunnathunad,Vadavukode
Ernakulam,Kunnathunad,Vazhakulam (Ct)
Ernakulam,Kunnathunad,Vengola (Ct)
Ernakulam,Kunnathunad,Vengoor
Ernakulam,Kunnathunad,Vengoor West
Ernakulam,Aluva,Aluva East
Ernakulam,Aluva,Aluva West
Ernakulam,Aluva,Angamaly
Ernakulam,Aluva,Ayyampuzha
Ernakulam,Aluva,Chengamanad (Ct)
Ernakulam,Aluva,Choornikkara (Ct)
Ernakulam,Aluva,Chowwara (Ct)
Ernakulam,Aluva,Kalady (Ct)
Ernakulam,Aluva,Karukutty
Ernakulam,Aluva,Keezhmad
Ernakulam,Aluva,Kizhakkumbhagom (Ct)
Ernakulam,Aluva,Malayattoor
Ernakulam,Aluva,Manjapra
Ernakulam,Aluva,Mattoor (Ct)
Ernakulam,Aluva,Mookkannoor
Ernakulam,Aluva,Nedumbassery (Ct)
Ernakulam,Aluva,Parakkadavu
Ernakulam,Aluva,Thekkumbhagom (Ct)
Ernakulam,Aluva,Thuravoor
Ernakulam,Aluva,Vadakkumbhagom (Ct)
Ernakulam,Paravur,Alangad (Ct)
Ernakulam,Paravur,Chendamangalam (Ct)
Ernakulam,Paravur,Eloor (Ct)
Ernakulam,Paravur,Ezhikkara
Ernakulam,Paravur,Kadungalloor (Ct)
Ernakulam,Paravur,Karumalloor (Ct)
Ernakulam,Paravur,Kottuvally (Ct)
Ernakulam,Paravur,Kunnukara
Ernakulam,Paravur,Moothakunnam (Ct)
Ernakulam,Paravur,North Paravur
Ernakulam,Paravur,Puthenvelikkara (Ct)
Ernakulam,Paravur,Vadakkekara (Ct)
Ernakulam,Paravur,Varappuzha (Ct)
Ernakulam,Kochi,Chellanam
Ernakulam,Kochi,Edakochi
Ernakulam,Kochi,Edavanakkad
Ernakulam,Kochi,Elamkunnapuzha (Ct)
Ernakulam,Kochi,Fort Kochi
Ernakulam,Kochi,Kumbalangy (Ct)
Ernakulam,Kochi,Kuzhuppilly
Ernakulam,Kochi,Mattancherry
Ernakulam,Kochi,Nayarambalam
Ernakulam,Kochi,Njarackal (Ct)
Ernakulam,Kochi,Pallippuram
Ernakulam,Kochi,Palluruthy
Ernakulam,Kochi,Puthuvype (Ct)
Ernakulam,Kochi,Rameswaram
Ernakulam,Kochi,Thoppumpady
Ernakulam,Kanayannur,Amballur (Ct)
Ernakulam,Kanayannur,Cheranallur (Ct)
Ernakulam,Kanayannur,Edakkattuvayal
Ernakulam,Kanayannur,Edappally North
Ernakulam,Kanayannur,Edappally South
Ernakulam,Kanayannur,Elamkulam
Ernakulam,Kanayannur,Ernakulam
Ernakulam,Kanayannur,Kadamakkudy (Ct)
Ernakulam,Kanayannur,Kaippattur
Ernakulam,Kanayannur,Kakkanad (Ct)
Ernakulam,Kanayannur,Kanayannur (Ct)
Ernakulam,Kanayannur,Keecherry
Ernakulam,Kanayannur,Kulayettikara
Ernakulam,Kanayannur,Kumbalam (Ct)
Ernakulam,Kanayannur,Kureekkad (Ct)
Ernakulam,Kanayannur,Manakunnam (Ct)
Ernakulam,Kanayannur,Maradu (Ct)
Ernakulam,Kanayannur,Mulamthuruthy (Ct)
Ernakulam,Kanayannur,Mulavukad (Ct)
Ernakulam,Kanayannur,Nadama
Ernakulam,Kanayannur,Poonithura
Ernakulam,Kanayannur,Thekkumbhagam
Ernakulam,Kanayannur,Thiruvankulam (Ct)
Ernakulam,Kanayannur,Thrikkakara North (Part)
Ernakulam,Kanayannur,Vazhakkala (Ct)
Ernakulam,Kanayannur,Vazhakkala (Ct)
Ernakulam,Muvattupuzha,Arakuzha
Ernakulam,Muvattupuzha,Elanji
Ernakulam,Muvattupuzha,Enanalloor
Ernakulam,Muvattupuzha,Kalloorkkad
Ernakulam,Muvattupuzha,Koothattukulam
Ernakulam,Muvattupuzha,Maneed
Ernakulam,Muvattupuzha,Manjalloor
Ernakulam,Muvattupuzha,Marady (Part)
Ernakulam,Muvattupuzha,Memury
Ernakulam,Muvattupuzha,Mulavoor
Ernakulam,Muvattupuzha,Muvattupuzha (Part)
Ernakulam,Muvattupuzha,Onakkoor
Ernakulam,Muvattupuzha,Palakkuzha
Ernakulam,Muvattupuzha,Piravom
Ernakulam,Muvattupuzha,Ramamangalam
Ernakulam,Muvattupuzha,Thirumarady
Ernakulam,Muvattupuzha,Valakam
Ernakulam,Muvattupuzha,Velloorkunnam (Ct)
Ernakulam,Kothamangalam,Eramalloor (Ct)
Ernakulam,Kothamangalam,Kedavoor
Ernakulam,Kothamangalam,Keerampara
Ernakulam,Kothamangalam,Kothamangalam (Og) (Part)
Ernakulam,Kothamangalam,Kottappady
Ernakulam,Kothamangalam,Kuttamangalam
Ernakulam,Kothamangalam,Kuttampuzha
Ernakulam,Kothamangalam,Neriamangalam
Ernakulam,Kothamangalam,Pallarimangalam
Ernakulam,Kothamangalam,Pindimana
Ernakulam,Kothamangalam,Pothanikkad
Ernakulam,Kothamangalam,Thrikkariyoor (Part)
Ernakulam,Kothamangalam,Varappetty
Idukki,Devikulam,Anaviratty
Idukki,Devikulam,Edamalakkudy
Idukki,Devikulam,Kannan Devan Hills
Idukki,Devikulam,Kanthalloor
Idukki,Devikulam,Keezhanthoor
Idukki,Devikulam,Kottakamboor
Idukki,Devikulam,Kunjithanny
Idukki,Devikulam,Mankulam
Idukki,Devikulam,Mannamkandam
Idukki,Devikulam,Marayoor
Idukki,Devikulam,Munnar
Idukki,Devikulam,Pallivasal
Idukki,Devikulam,Vattavada
Idukki,Devikulam,Vellathuval
Idukki,Udumbanchola,Anakkara
Idukki,Udumbanchola,Anavilasam
Idukki,Udumbanchola,Baisonvally
Idukki,Udumbanchola,Chakkupallam
Idukki,Udumbanchola,Chathurangapara
Idukki,Udumbanchola,Chinnakanal
Idukki,Udumbanchola,Erattayar
Idukki,Udumbanchola,Kalkoonthal
Idukki,Udumbanchola,Kanthippara
Idukki,Udumbanchola,Karunapuram
Idukki,Udumbanchola,Pampadumpara
Idukki,Udumbanchola,Parathodu
Idukki,Udumbanchola,Poopara
Idukki,Udumbanchola,Rajakkad
Idukki,Udumbanchola,Rajakumari
Idukki,Udumbanchola,Santhanpara
Idukki,Udumbanchola,Udumbanchola
Idukki,Udumbanchola,Vandanmedu
Idukki,Thodupuzha,Alacode
Idukki,Thodupuzha,Arakkulam
Idukki,Thodupuzha,Elappally
Idukki,Thodupuzha,Karikkode (Part)
Idukki,Thodupuzha,Karimannoor
Idukki,Thodupuzha,Karimkunnam (Part)
Idukki,Thodupuzha,Kodikulam
Idukki,Thodupuzha,Kudayathoor
Idukki,Thodupuzha,Kumaramangalam (Part)
Idukki,Thodupuzha,Manakkad (Part)
Idukki,Thodupuzha,Muttom
Idukki,Thodupuzha,Neyyasseri
Idukki,Thodupuzha,Purapuzha
Idukki,Thodupuzha,Thodupuzha (Part)
Idukki,Thodupuzha,Udumbannoor
Idukki,Thodupuzha,Vannapuram
Idukki,Thodupuzha,Velliyamattom
Idukki,Peerumade,Elappara
Idukki,Peerumade,Kokkayar
Idukki,Peerumade,Kumily
Idukki,Peerumade,Manjumala
Idukki,Peerumade,Mlappara
Idukki,Peerumade,Peerumade
Idukki,Peerumade,Periyar
Idukki,Peerumade,Peruvanthanam
Idukki,Peerumade,Upputhara
Idukki,Peerumade,Vagamon
Idukki,Idukki,Ayyappancoil
Idukki,Idukki,Idukki
Idukki,Idukki,Kanchiyar
Idukki,Idukki,Kanjikuzhi
Idukki,Idukki,Kattappana
Idukki,Idukki,Konnathady
Idukki,Idukki,Thankamony
Idukki,Idukki,Upputhode
Idukki,Idukki,Vathikudy
Kannur,Taliparamba,Alakode
Kannur,Taliparamba,Andoor
Kannur,Taliparamba,Cheleri (Ct)
Kannur,Taliparamba,Chengalai
Kannur,Taliparamba,Chuzhali
Kannur,Taliparamba,Eruvassy
Kannur,Taliparamba,Irikkur (Ct)
Kannur,Taliparamba,Kayaralam
Kannur,Taliparamba,Kolacherry (Ct)
Kannur,Taliparamba,Kooveri
Kannur,Taliparamba,Kurumathur (Ct)
Kannur,Taliparamba,Kuttiattoor (Ct)
Kannur,Taliparamba,Kuttiyeri
Kannur,Taliparamba,Malapattam
Kannur,Taliparamba,Maniyoor (Ct)
Kannur,Taliparamba,Mayyil (Ct)
Kannur,Taliparamba,Morazha
Kannur,Taliparamba,Nediyanga
Kannur,Taliparamba,New Naduvil
Kannur,Taliparamba,Panniyoor
Kannur,Taliparamba,Pariyaram (Ct)
Kannur,Taliparamba,Pattuvam
Kannur,Taliparamba,Payyavoor
Kannur,Taliparamba,Sreekandapuram
Kannur,Taliparamba,Taliparamba
Kannur,Taliparamba,Thimiri
Kannur,Taliparamba,Udayagiri
Kannur,Taliparamba,Vellad
Kannur,Kannur,Ancharakandy (Ct)
Kannur,Kannur,Azhikode North (Ct)
Kannur,Kannur,Azhikode South (Ct)
Kannur,Kannur,Chelora (Ct)
Kannur,Kannur,Chembilode - Ct
Kannur,Kannur,Cherukunnu (Ct)
Kannur,Kannur,Chirakkal (Ct)
Kannur,Kannur,Edakkad - Ct
Kannur,Kannur,Elayavoor (Ct)
Kannur,Kannur,Iriveri (Ct)
Kannur,Kannur,Kadambur - Ct
Kannur,Kannur,Kalliasseri (Ct)
Kannur,Kannur,Kanhirode (Ct)
Kannur,Kannur,Kannadiparamba (Ct)
Kannur,Kannur,Kannapuram (Ct)
Kannur,Kannur,Kannur I
Kannur,Kannur,Kannur II
Kannur,Kannur,Makreri - Ct
Kannur,Kannur,Mattool
Kannur,Kannur,Mavilayi (Ct)
Kannur,Kannur,Munderi (Ct)
Kannur,Kannur,Muzhappilangad (Ct)
Kannur,Kannur,Narath (Ct)
Kannur,Kannur,Pallikkunnu (Ct)
Kannur,Kannur,Pappinisseri (Ct)
Kannur,Kannur,Puzhathi (Ct)
Kannur,Kannur,Valapattanam (Ct)
Kannur,Kannur,Valiyannur - Ct
Kannur,Thalassery,Cheruvanchery
Kannur,Thalassery,Chockli (Ct)
Kannur,Thalassery,Dharmadom (Ct)
Kannur,Thalassery,Eranholi (Ct)
Kannur,Thalassery,Eruvatti (Ct)
Kannur,Thalassery,Kadirur (Ct)
Kannur,Thalassery,Kandamkunnu (Ct)
Kannur,Thalassery,Kannavam
Kannur,Thalassery,Keezhallur (Ct)
Kannur,Thalassery,Kodiyeri - Ct
Kannur,Thalassery,Kolavelloor (Ct)
Kannur,Thalassery,Koloyad
Kannur,Thalassery,Koodali (Ct)
Kannur,Thalassery,Kottayam
Kannur,Thalassery,Kuthuparamba
Kannur,Thalassery,Manantheri (Ct)
Kannur,Thalassery,Mangattidam (Ct)
Kannur,Thalassery,Mokeri (Ct)
Kannur,Thalassery,New Mahe (Ct)
Kannur,Thalassery,Paduvilayi (Ct)
Kannur,Thalassery,Panniyannur (Ct)
Kannur,Thalassery,Panoor (Ct)
Kannur,Thalassery,Pathiriyad (Ct)
Kannur,Thalassery,Pattannur
Kannur,Thalassery,Pattiom (Ct)
Kannur,Thalassery,Peringalam
Kannur,Thalassery,Peringathur (Ct)
Kannur,Thalassery,Pinarayi (Ct)
Kannur,Thalassery,Puthoor
Kannur,Thalassery,Sivapuram
Kannur,Thalassery,Thalassery
Kannur,Thalassery,Thiruvangad
Kannur,Thalassery,Tholambra
Kannur,Thalassery,Thrippangottur
Kannur,Thalassery,Vekkalam
Kannur,Iritty,Aralam
Kannur,Iritty,Ayyankunnu
Kannur,Iritty,Chavassery
Kannur,Iritty,Kalliad
Kannur,Iritty,Kanichar
Kannur,Iritty,Karikkottakkari
Kannur,Iritty,Keezhur
Kannur,Iritty,Kelakam
Kannur,Iritty,Kolari
Kannur,Iritty,Kottiyoor
Kannur,Iritty,Manathana
Kannur,Iritty,Muzhakkunnu
Kannur,Iritty,Nuchiyad
Kannur,Iritty,Padiyoor
Kannur,Iritty,Payam
Kannur,Iritty,Pazhassi
Kannur,Iritty,Thillenkeri
Kannur,Iritty,Vayathur
Kannur,Iritty,Vellarvelly
Kannur,Iritty,Vilamana
Kannur,Payyannur,Alapadamba
Kannur,Payyannur,Cheruthazham (Ct)
Kannur,Payyannur,Eramam
Kannur,Payyannur,Ezhome (Ct)
Kannur,Payyannur,Kadannappalli (Ct)
Kannur,Payyannur,Kankole
Kannur,Payyannur,Karivellur (Ct)
Kannur,Payyannur,Korom
Kannur,Payyannur,Kunhimangalam (Ct)
Kannur,Payyannur,Kuttoor
Kannur,Payyannur,Madayi (Ct)
Kannur,Payyannur,Panapuzha
Kannur,Payyannur,Payyannur
Kannur,Payyannur,Peralam
Kannur,Payyannur,Peringome
Kannur,Payyannur,Perinthatta
Kannur,Payyannur,Pulingome
Kannur,Payyannur,Ramanthali
Kannur,Payyannur,Thirumeni
Kannur,Payyannur,Vayakkara
Kannur,Payyannur,Vellora
Kannur,Payyannur,Vellur
Kasaragod,Kasaragod,Adhur
Kasaragod,Kasaragod,Adkath Bail
Kasaragod,Kasaragod,Adoor
Kasaragod,Kasaragod,Badiyadka
Kasaragod,Kasaragod,Bandadka
Kasaragod,Kasaragod,Bedadka
Kasaragod,Kasaragod,Bela
Kasaragod,Kasaragod,Bellur
Kasaragod,Kasaragod,Chemnad (Ct)
Kasaragod,Kasaragod,Chengala (Ct)
Kasaragod,Kasaragod,Delampady
Kasaragod,Kasaragod,Kalnad
Kasaragod,Kasaragod,Karadka
Kasaragod,Kasaragod,Karivedakam
Kasaragod,Kasaragod,Kasaragod
Kasaragod,Kasaragod,Kolathur
Kasaragod,Kasaragod,Kudlu (Ct)
Kasaragod,Kasaragod,Kumbadaje
Kasaragod,Kasaragod,Kuttikole
Kasaragod,Kasaragod,Madhur (Ct)
Kasaragod,Kasaragod,Muliyar
Kasaragod,Kasaragod,Munnad
Kasaragod,Kasaragod,Muttathody
Kasaragod,Kasaragod,Nekraje
Kasaragod,Kasaragod,Nettanige
Kasaragod,Kasaragod,Nirchal
Kasaragod,Kasaragod,Pady
Kasaragod,Kasaragod,Patla
Kasaragod,Kasaragod,Perumbala
Kasaragod,Kasaragod,Puthur (Ct)
Kasaragod,Kasaragod,Shiribagilu (Ct)
Kasaragod,Kasaragod,Thalangara
Kasaragod,Kasaragod,Thekkil
Kasaragod,Kasaragod,Ubrangala
Kasaragod,Hosdurg,Ajanur (Ct)
Kasaragod,Hosdurg,Ambalathara
Kasaragod,Hosdurg,Balla
Kasaragod,Hosdurg,Bare (Ct)
Kasaragod,Hosdurg,Cheemeni
Kasaragod,Hosdurg,Cheruvathur (Og)
Kasaragod,Hosdurg,Chithari
Kasaragod,Hosdurg,Hosdurg
Kasaragod,Hosdurg,Kanhangad
Kasaragod,Hosdurg,Kayyur
Kasaragod,Hosdurg,Keekan (Ct)
Kasaragod,Hosdurg,Kilayikode
Kasaragod,Hosdurg,Kodakkad
Kasaragod,Hosdurg,Madikai
Kasaragod,Hosdurg,Maniyat (Ct)
Kasaragod,Hosdurg,Nileshwar (Og)
Kasaragod,Hosdurg,North Thrikkaripur (Ct)
Kasaragod,Hosdurg,Padne
Kasaragod,Hosdurg,Pallikkara (Ct)
Kasaragod,Hosdurg,Pallikkara II
Kasaragod,Hosdurg,Panayal
Kasaragod,Hosdurg,Periya
Kasaragod,Hosdurg,Perole (Ct)
Kasaragod,Hosdurg,Pilicode (Ct)
Kasaragod,Hosdurg,Pudukai
Kasaragod,Hosdurg,Pullur
Kasaragod,Hosdurg,South Thrikkaripur (Ct)
Kasaragod,Hosdurg,Thimiri
Kasaragod,Hosdurg,Thuruthy
Kasaragod,Hosdurg,Udinoor
Kasaragod,Hosdurg,Udma (Ct)
Kasaragod,Hosdurg,Valiyaparmbu
Kasaragod,Manjeswaram,Angadimogaru
Kasaragod,Manjeswaram,Arikady
Kasaragod,Manjeswaram,Badaje
Kasaragod,Manjeswaram,Badoor
Kasaragod,Manjeswaram,Bangra Manjeshwar (Ct)
Kasaragod,Manjeswaram,Bayar
Kasaragod,Manjeswaram,Bekoor
Kasaragod,Manjeswaram,Bombrana
Kasaragod,Manjeswaram,Chippar
Kasaragod,Manjeswaram,Edanad
Kasaragod,Manjeswaram,Enmakaje
Kasaragod,Manjeswaram,Heroor
Kasaragod,Manjeswaram,Hosabettu (Ct)
Kasaragod,Manjeswaram,Ichilampady
Kasaragod,Manjeswaram,Ichilangod
Kasaragod,Manjeswaram,Kadambar
Kasaragod,Manjeswaram,Kaliyoor
Kasaragod,Manjeswaram,Kannur
Kasaragod,Manjeswaram,Kattukukke
Kasaragod,Manjeswaram,Kayyar
Kasaragod,Manjeswaram,Kidoor
Kasaragod,Manjeswaram,Kodalamogaru
Kasaragod,Manjeswaram,Kodibail
Kasaragod,Manjeswaram,Koipady (Ct)
Kasaragod,Manjeswaram,Koliyoor
Kasaragod,Manjeswaram,Kubanoor
Kasaragod,Manjeswaram,Kudalmarkala
Kasaragod,Manjeswaram,Kuloor
Kasaragod,Manjeswaram,Kunjathur (Ct)
Kasaragod,Manjeswaram,Majibail
Kasaragod,Manjeswaram,Mangalpady (Ct)
Kasaragod,Manjeswaram,Meenja
Kasaragod,Manjeswaram,Mogral (Ct)
Kasaragod,Manjeswaram,Moodambail
Kasaragod,Manjeswaram,Mugu
Kasaragod,Manjeswaram,Mulinja
Kasaragod,Manjeswaram,Padre
Kasaragod,Manjeswaram,Paivalike
Kasaragod,Manjeswaram,Pathur
Kasaragod,Manjeswaram,Pavoor
Kasaragod,Manjeswaram,Puthige
Kasaragod,Manjeswaram,Sheni
Kasaragod,Manjeswaram,Shiriya (Ct)
Kasaragod,Manjeswaram,Talikala
Kasaragod,Manjeswaram,Udyawar
Kasaragod,Manjeswaram,Ujarulvar
Kasaragod,Manjeswaram,Uppala (Ct)
Kasaragod,Manjeswaram,Vorkady
Kasaragod,Vellarikkundu,Balal
Kasaragod,Vellarikkundu,Belur
Kasaragod,Vellarikkundu,Bheemanady
Kasaragod,Vellarikkundu,Cheemeni II
Kasaragod,Vellarikkundu,Chittarikkal
Kasaragod,Vellarikkundu,Kallar
Kasaragod,Vellarikkundu,Karindalam
Kasaragod,Vellarikkundu,Kinanoor
Kasaragod,Vellarikkundu,Kodom
Kasaragod,Vellarikkundu,Maloth
Kasaragod,Vellarikkundu,Palavayal
Kasaragod,Vellarikkundu,Panathady
Kasaragod,Vellarikkundu,Parappa
Kasaragod,Vellarikkundu,Thayanur
Kasaragod,Vellarikkundu,West Eleri
Kollam,Karunagappally,Adinad (Ct)
Kollam,Karunagappally,Alappad
Kollam,Karunagappally,Ayanivelikulangara (Ct)
Kollam,Karunagappally,Chavara (Ct)
Kollam,Karunagappally,Clappana
Kollam,Karunagappally,Kallelibhagom (Ct)
Kollam,Karunagappally,Karunagappally (Ct)
Kollam,Karunagappally,Kulasekharapuram (Ct)
Kollam,Karunagappally,Neendakara (Og)
Kollam,Karunagappally,Oachira (Ct)
Kollam,Karunagappally,Panmana (Ct)
Kollam,Karunagappally,Pavumba
Kollam,Karunagappally,Thazhava
Kollam,Karunagappally,Thekkumbhagom
Kollam,Karunagappally,Thevalakkara
Kollam,Karunagappally,Thodiyoor (Ct)
Kollam,Karunagappally,Vadakkumthala (Ct)
Kollam,Kunnathur,Kunnathur
Kollam,Kunnathur,Mynagappally
Kollam,Kunnathur,Poruvazhy
Kollam,Kunnathur,Sasthamkotta
Kollam,Kunnathur,Sooranad North
Kollam,Kunnathur,Sooranad South
Kollam,Kunnathur,West Kallada
Kollam,Pathanapuram,Pathanapuram
Kollam,Pathanapuram,Pattazhy
Kollam,Pathanapuram,Pattazhy Vadakkekara
Kollam,Pathanapuram,Pidavoor
Kollam,Pathanapuram,Piravanthur
Kollam,Pathanapuram,Punnala
Kollam,Pathanapuram,Thalavoor
Kollam,Pathanapuram,Vilakkudy
Kollam,Kottarakkara,Chadayamangalam
Kollam,Kottarakkara,Chakkuvarakkal
Kollam,Kottarakkara,Chithara
Kollam,Kottarakkara,Elamad
Kollam,Kottarakkara,Ezhukone
Kollam,Kottarakkara,Ittiva
Kollam,Kottarakkara,Kadakkal
Kollam,Kottarakkara,Kalayapuram
