District,Sub-district,Village
Kollam,Kottarakkara,Kareepra
Kollam,Kottarakkara,Kottarakkara (Ct)
Kollam,Kottarakkara,Kottukkal
Kollam,Kottarakkara,Kulakkada
Kollam,Kottarakkara,Kummil
Kollam,Kottarakkara,Mancode
Kollam,Kottarakkara,Melila
Kollam,Kottarakkara,Mylom
Kollam,Kottarakkara,Neduvathoor
Kollam,Kottarakkara,Nilamel
Kollam,Kottarakkara,Odanavattam
Kollam,Kottarakkara,Pavithreswaram
Kollam,Kottarakkara,Pooyappally
Kollam,Kottarakkara,Puthur
Kollam,Kottarakkara,Ummannoor
Kollam,Kottarakkara,Valakam
Kollam,Kottarakkara,Velinalloor
Kollam,Kottarakkara,Veliyam
Kollam,Kottarakkara,Vettikkavala
Kollam,Kollam,Adichanalloor (Ct)
Kollam,Kollam,Chirakkara
Kollam,Kollam,Elampalloor (Ct)
Kollam,Kollam,Eravipuram (Og) (Part)
Kollam,Kollam,Kalluvathukkal
Kollam,Kollam,Kilikollur
Kollam,Kollam,Kizhakkekallada
Kollam,Kollam,Kollam East
Kollam,Kollam,Kollam West
Kollam,Kollam,Kottamkara (Ct)
Kollam,Kollam,Kottappuram
Kollam,Kollam,Mangad
Kollam,Kollam,Mayyanad (Ct)
Kollam,Kollam,Meenad (Ct)
Kollam,Kollam,Mulavana
Kollam,Kollam,Mundackal
Kollam,Kollam,Mundrothuruth
Kollam,Kollam,Nedumpana (Ct)
Kollam,Kollam,Pallimon
Kollam,Kollam,Panayam (Ct)
Kollam,Kollam,Paravoor (Part)
Kollam,Kollam,Parippally
Kollam,Kollam,Perayam
Kollam,Kollam,Perinad (Ct)
Kollam,Kollam,Poothakkulam (Ct)
Kollam,Kollam,Sakthikulangara
Kollam,Kollam,Thazhuthala (Ct)
Kollam,Kollam,Thrikkadavoor (Ct)
Kollam,Kollam,Thrikkaruva (Ct)
Kollam,Kollam,Thrikkovilvattom (Ct)
Kollam,Kollam,Vadakkevila
Kollam,Punalur,Alayamon
Kollam,Punalur,Anchal
Kollam,Punalur,Arackal
Kollam,Punalur,Arienkavu
Kollam,Punalur,Ayiranalloor
Kollam,Punalur,Channappetta
Kollam,Punalur,Edamon
Kollam,Punalur,Edamulackal
Kollam,Punalur,Eroor
Kollam,Punalur,Karavaloor (Part)
Kollam,Punalur,Kulathupuzha
Kollam,Punalur,Punalur
Kollam,Punalur,Thenmala
Kollam,Punalur,Thinkalkarikkakom
Kollam,Punalur,Valacode (Part)
Kottayam,Meenachil,Bharananganam
Kottayam,Meenachil,Elackad
Kottayam,Meenachil,Erattupetta (Ct)
Kottayam,Meenachil,Kadanad
Kottayam,Meenachil,Kadaplamattom
Kottayam,Meenachil,Kanakkari
Kottayam,Meenachil,Kidangoor
Kottayam,Meenachil,Kondoor
Kottayam,Meenachil,Kuravilangad
Kottayam,Meenachil,Kurichithanam
Kottayam,Meenachil,Lalam (Part)
Kottayam,Meenachil,Meenachil (Part)
Kottayam,Meenachil,Meenachil (Part)
Kottayam,Meenachil,Melukavu
Kottayam,Meenachil,Monippally
Kottayam,Meenachil,Moonilavu
Kottayam,Meenachil,Poonjar
Kottayam,Meenachil,Poonjar Nadubhagam
Kottayam,Meenachil,Poonjar Thekkekara
Kottayam,Meenachil,Poovarany
Kottayam,Meenachil,Puliyannoor (Part)
Kottayam,Meenachil,Ramapuram
Kottayam,Meenachil,Teekoy
Kottayam,Meenachil,Thalanadu
Kottayam,Meenachil,Thalappalam
Kottayam,Meenachil,Uzhavoor
Kottayam,Meenachil,Vallichira
Kottayam,Meenachil,Veliyannoor
Kottayam,Meenachil,Vellilappally
Kottayam,Vaikom,Chempu
Kottayam,Vaikom,Kaduthuruthy
Kottayam,Vaikom,Kallara
Kottayam,Vaikom,Kothanalloor
Kottayam,Vaikom,Kulasekharamangalam
Kottayam,Vaikom,Manjoor
Kottayam,Vaikom,Mulakulam
Kottayam,Vaikom,Muttuchira
Kottayam,Vaikom,Naduvile (Part)
Kottayam,Vaikom,Njeezhoor
Kottayam,Vaikom,Thalayazham
Kottayam,Vaikom,T V Puram
Kottayam,Vaikom,Udayanapuram
Kottayam,Vaikom,Vadakkemuri (Part)
Kottayam,Vaikom,Vadayar
Kottayam,Vaikom,Vaikom (Part)
Kottayam,Vaikom,Vechoor
Kottayam,Vaikom,Velloor
Kottayam,Kottayam,Aimanam (Ct)
Kottayam,Kottayam,Akalakunnam
Kottayam,Kottayam,Anikkad
Kottayam,Kottayam,Arpookara
Kottayam,Kottayam,Athirampuzha (Ct)
Kottayam,Kottayam,Ayarkunnam
Kottayam,Kottayam,Chengalam East
Kottayam,Kottayam,Chengalam West
Kottayam,Kottayam,Ettumanoor (Ct)
Kottayam,Kottayam,Kaipuzha
Kottayam,Kottayam,Kooroppada
Kottayam,Kottayam,Kottayam
Kottayam,Kottayam,Kumarakam
Kottayam,Kottayam,Manarcad
Kottayam,Kottayam,Meenadam
Kottayam,Kottayam,Muttampalam (Part)
Kottayam,Kottayam,Nattakam (Ct)
Kottayam,Kottayam,Onamthuruth
Kottayam,Kottayam,Pampady
Kottayam,Kottayam,Panachikkad (Ct)
Kottayam,Kottayam,Peroor
Kottayam,Kottayam,Perumbaikad (Ct)
Kottayam,Kottayam,Perumbaikad (Ct)
Kottayam,Kottayam,Puthuppally (Ct)
Kottayam,Kottayam,Thiruvarpu
Kottayam,Kottayam,Veloor (Part)
Kottayam,Kottayam,Vijayapuram (Ct)
Kottayam,Changanassery,Changanassery (Part)
Kottayam,Changanassery,Chethipuzha (Ct)
Kottayam,Changanassery,Kangazha
Kottayam,Changanassery,Karukachal
Kottayam,Changanassery,Kurichy
Kottayam,Changanassery,Madappally
Kottayam,Changanassery,Nedumkunnam
Kottayam,Changanassery,Paippad (Ct)
Kottayam,Changanassery,Thottackad
Kottayam,Changanassery,Thrikkodithanam (Ct)
Kottayam,Changanassery,Vakathanam
Kottayam,Changanassery,Vazhappally East
Kottayam,Changanassery,Vazhappally West
Kottayam,Changanassery,Vazhoor
Kottayam,Changanassery,Vellavoor
Kottayam,Kanjirappally,Cheruvally
Kottayam,Kanjirappally,Chirakkadavu
Kottayam,Kanjirappally,Edakkunnam
Kottayam,Kanjirappally,Elamgulam
Kottayam,Kanjirappally,Elikkulam
Kottayam,Kanjirappally,Erumeli North
Kottayam,Kanjirappally,Erumeli South
Kottayam,Kanjirappally,Kanjirappally
Kottayam,Kanjirappally,Koottickal
Kottayam,Kanjirappally,Koovappally
Kottayam,Kanjirappally,Koruthode
Kottayam,Kanjirappally,Manimala
Kottayam,Kanjirappally,Mundakayam
Kozhikode,Vatakara,Ayancheri (Ct)
Kozhikode,Vatakara,Azhiyur (Ct)
Kozhikode,Vatakara,Chekkiad (Ct)
Kozhikode,Vatakara,Chorode (Ct)
Kozhikode,Vatakara,Edacheri (Ct)
Kozhikode,Vatakara,Eramala (Ct)
Kozhikode,Vatakara,Kavilumpara
Kozhikode,Vatakara,Kayakkodi
Kozhikode,Vatakara,Kottappally (Ct)
Kozhikode,Vatakara,Kunnummal (Ct)
Kozhikode,Vatakara,Kuttiadi
Kozhikode,Vatakara,Maniyur (Ct)
Kozhikode,Vatakara,Maruthonkara
Kozhikode,Vatakara,Nadakkuthazha
Kozhikode,Vatakara,Nadapuram (Ct)
Kozhikode,Vatakara,Narippatta
Kozhikode,Vatakara,Onchiam
Kozhikode,Vatakara,Palayad (Ct)
Kozhikode,Vatakara,Purameri
Kozhikode,Vatakara,Thinoor
Kozhikode,Vatakara,Thiruvallur
Kozhikode,Vatakara,Thuneri (Ct)
Kozhikode,Vatakara,Valayam (Ct)
Kozhikode,Vatakara,Vanimel
Kozhikode,Vatakara,Vatakara
Kozhikode,Vatakara,Velom
Kozhikode,Vatakara,Vilangad
Kozhikode,Vatakara,Villiappally (Ct)
Kozhikode,Koyilandi,Arikkulam (Part)
Kozhikode,Koyilandi,Atholi (Ct)
Kozhikode,Koyilandi,Avitanallur
Kozhikode,Koyilandi,Balusseri (Ct)
Kozhikode,Koyilandi,Chakkittapara
Kozhikode,Koyilandi,Changaroth
Kozhikode,Koyilandi,Chemancheri (Ct)
Kozhikode,Koyilandi,Chempanoda
Kozhikode,Koyilandi,Chengottukavu
Kozhikode,Koyilandi,Cheruvannur
Kozhikode,Koyilandi,Eravattur (Ct)
Kozhikode,Koyilandi,Iringal (Ct)
Kozhikode,Koyilandi,Kayanna
Kozhikode,Koyilandi,Keezhariyur (Ct)
Kozhikode,Koyilandi,Koorachundu
Kozhikode,Koyilandi,Koothali (Ct)
Kozhikode,Koyilandi,Kottur
Kozhikode,Koyilandi,Kozhukkallur (Ct)
Kozhikode,Koyilandi,Menhaniam (Ct)
Kozhikode,Koyilandi,Meppayyur (Ct)
Kozhikode,Koyilandi,Moodadi
Kozhikode,Koyilandi,Naduvannur (Ct)
Kozhikode,Koyilandi,Nochad
Kozhikode,Koyilandi,Palery
Kozhikode,Koyilandi,Panthalayani
Kozhikode,Koyilandi,Payyoli
Kozhikode,Koyilandi,Perambra
Kozhikode,Koyilandi,Thikkody (Ct)
Kozhikode,Koyilandi,Thurayur (Ct)
Kozhikode,Koyilandi,Ulliyeri (Ct)
Kozhikode,Koyilandi,Viyyur
Kozhikode,Kozhikode,Beypore (Ct)
Kozhikode,Kozhikode,Chathamangalam
Kozhikode,Kozhikode,Chelannur (Ct)
Kozhikode,Kozhikode,Chelavur
Kozhikode,Kozhikode,Cheruvannur (Ct)
Kozhikode,Kozhikode,Chevayur
Kozhikode,Kozhikode,Elathur (Og)
Kozhikode,Kozhikode,Feroke (Ct)
Kozhikode,Kozhikode,Kadalundi (Og)
Kozhikode,Kozhikode,Kakkad
Kozhikode,Kozhikode,Kakkodi (Ct)
Kozhikode,Kozhikode,Kakkur
Kozhikode,Kozhikode,Karuvanthuruthy (Ct)
Kozhikode,Kozhikode,Kasaba
Kozhikode,Kozhikode,Katchery
Kozhikode,Kozhikode,Kodiyathur
Kozhikode,Kozhikode,Kottuli
Kozhikode,Kozhikode,Kumaranallur
Kozhikode,Kozhikode,Kunnamangalam (Ct)
Kozhikode,Kozhikode,Kuruvattur (Ct)
Kozhikode,Kozhikode,Kuttikkattoor (Ct)
Kozhikode,Kozhikode,Madavoor
Kozhikode,Kozhikode,Mavoor (Ct)
Kozhikode,Kozhikode,Nagaram
Kozhikode,Kozhikode,Nanmanda (Ct)
Kozhikode,Kozhikode,Neeleswaram
Kozhikode,Kozhikode,Neeleswaram
Kozhikode,Kozhikode,Nellikode
Kozhikode,Kozhikode,Olavanna (Ct)
Kozhikode,Kozhikode,Panniankara
Kozhikode,Kozhikode,Pantheeramkavu (Ct)
Kozhikode,Kozhikode,Perumanna (Ct)
Kozhikode,Kozhikode,Peruvayal (Ct)
Kozhikode,Kozhikode,Poolacode (Ct)
Kozhikode,Kozhikode,Puthiyangadi (Og) (Part)
Kozhikode,Kozhikode,Ramanattukara (Ct)
Kozhikode,Kozhikode,Thalakkulathur (Ct)
Kozhikode,Kozhikode,Thazhecode (Ct)
Kozhikode,Kozhikode,Valayanad
Kozhikode,Kozhikode,Vengeri
Kozhikode,Thamarassery,Engapuzha
Kozhikode,Thamarassery,Kanthalad
Kozhikode,Thamarassery,Kattippara
Kozhikode,Thamarassery,Kedavur
Kozhikode,Thamarassery,Kinalur
Kozhikode,Thamarassery,Kizhakkoth
Kozhikode,Thamarassery,Kodencheri
Kozhikode,Thamarassery,Koduvally (Og)
Kozhikode,Thamarassery,Koodaranji
Kozhikode,Thamarassery,Koodathayi
Kozhikode,Thamarassery,Narikkuni
Kozhikode,Thamarassery,Nellipoyil
Kozhikode,Thamarassery,Panangad (Ct)
Kozhikode,Thamarassery,Puthuppadi
Kozhikode,Thamarassery,Puthur
Kozhikode,Thamarassery,Raroth
Kozhikode,Thamarassery,Sivapuram
Kozhikode,Thamarassery,Thiruvambadi
Kozhikode,Thamarassery,Unnikulam
Kozhikode,Thamarassery,Vavad
Malappuram,Ernad,Anakkayam (Og)
Malappuram,Ernad,Areekode
Malappuram,Ernad,Chembrasseri
Malappuram,Ernad,Edavanna
Malappuram,Ernad,Elankur
Malappuram,Ernad,Karakunnu
Malappuram,Ernad,Kavanoor
Malappuram,Ernad,Kizhuparamba (Ct)
Malappuram,Ernad,Malappuram
Malappuram,Ernad,Manjeri
Malappuram,Ernad,Manjeri
Malappuram,Ernad,Melmuri
Malappuram,Ernad,Narukara
Malappuram,Ernad,Narukara
Malappuram,Ernad,Panakkad
Malappuram,Ernad,Panakkad
Malappuram,Ernad,Pandalur
Malappuram,Ernad,Pandikkad
Malappuram,Ernad,Payyanad
Malappuram,Ernad,Payyanad
Malappuram,Ernad,Perakamanna
Malappuram,Ernad,Pookkottur
Malappuram,Ernad,Pulpatta
Malappuram,Ernad,Trikkalangode
Malappuram,Ernad,Urangattiri
Malappuram,Ernad,Vettikkattiri
Malappuram,Ernad,Vettilappara
Malappuram,Ernad,Vettilappara
Malappuram,Nilambur,Akampadam
Malappuram,Nilambur,Amarambalam
Malappuram,Nilambur,Chokkad
Malappuram,Nilambur,Chungathara
Malappuram,Nilambur,Edakkara
Malappuram,Nilambur,Kalikavu
Malappuram,Nilambur,Karulai
Malappuram,Nilambur,Karuvarakundu
Malappuram,Nilambur,Kerala Estate
Malappuram,Nilambur,Kurumbilangode
Malappuram,Nilambur,Mambad
Malappuram,Nilambur,Moothedam
Malappuram,Nilambur,Nilambur (Ct)
Malappuram,Nilambur,Porur
Malappuram,Nilambur,Pothukallu
Malappuram,Nilambur,Pullipadam
Malappuram,Nilambur,Thiruvali
Malappuram,Nilambur,Thuvvur
Malappuram,Nilambur,Vazhikkadavu
Malappuram,Nilambur,Vellayur
Malappuram,Nilambur,Wandoor
Malappuram,Perinthalmanna,Aliparamba
Malappuram,Perinthalmanna,Anamangad
Malappuram,Perinthalmanna,Angadippuram
Malappuram,Perinthalmanna,Arakkuparamba
Malappuram,Perinthalmanna,Edappatta
Malappuram,Perinthalmanna,Elamkulam
Malappuram,Perinthalmanna,Kariavattom
Malappuram,Perinthalmanna,Keezhattur
Malappuram,Perinthalmanna,Kodur (Ct)
Malappuram,Perinthalmanna,Koottilangadi (Ct)
Malappuram,Perinthalmanna,Kuruva
Malappuram,Perinthalmanna,Kuruvambalam
Malappuram,Perinthalmanna,Mankada
Malappuram,Perinthalmanna,Melattur
Malappuram,Perinthalmanna,Moorkkanad
Malappuram,Perinthalmanna,Nenmini
Malappuram,Perinthalmanna,Pathaikkara
Malappuram,Perinthalmanna,Perinthalmanna
Malappuram,Perinthalmanna,Pulamanthole
Malappuram,Perinthalmanna,Puzhakkattiri
Malappuram,Perinthalmanna,Thazhekode
Malappuram,Perinthalmanna,Vadakkangara
Malappuram,Perinthalmanna,Valambur
Malappuram,Perinthalmanna,Vettathur
Malappuram,Tirur,Ananthavoor
Malappuram,Tirur,Athavanad
Malappuram,Tirur,Cheriyamundam (Ct)
Malappuram,Tirur,Edayoor
Malappuram,Tirur,Irimbiliyam (Ct)
Malappuram,Tirur,Irimbiliyam (Ct)
Malappuram,Tirur,Irimbiliyam (Ct)
Malappuram,Tirur,Irimbiliyam (Ct)
Malappuram,Tirur,Kalpakancheri
Malappuram,Tirur,Kattipparuthi (Ct)
Malappuram,Tirur,Kattipparuthi (Ct)
Malappuram,Tirur,Kattipparuthi (Ct)
Malappuram,Tirur,Kattipparuthi (Ct)
Malappuram,Tirur,Kottakkal (Ct)
Malappuram,Tirur,Kurumbathur
Malappuram,Tirur,Kuttippuram (Ct)
Malappuram,Tirur,Kuttippuram (Ct)
Malappuram,Tirur,Kuttippuram (Ct)
Malappuram,Tirur,Kuttippuram (Ct)
Malappuram,Tirur,Mangalam
Malappuram,Tirur,Marakkara
Malappuram,Tirur,Melmuri
Malappuram,Tirur,Melmuri
Malappuram,Tirur,Melmuri
Malappuram,Tirur,Melmuri
Malappuram,Tirur,Naduvattom (Ct)
Malappuram,Tirur,Naduvattom (Ct)
Malappuram,Tirur,Naduvattom (Ct)
Malappuram,Tirur,Naduvattom (Ct)
Malappuram,Tirur,Niramaruthur
Malappuram,Tirur,Ozhur
Malappuram,Tirur,Pariyapuram
Malappuram,Tirur,Pariyapuram
Malappuram,Tirur,Pariyapuram
Malappuram,Tirur,Pariyapuram
Malappuram,Tirur,Perumanna (Ct)
Malappuram,Tirur,Ponmala
Malappuram,Tirur,Ponmala
Malappuram,Tirur,Ponmala
Malappuram,Tirur,Ponmala
Malappuram,Tirur,Ponmundam (Ct)
Malappuram,Tirur,Ponmundam (Ct)
Malappuram,Tirur,Ponmundam (Ct)
Malappuram,Tirur,Ponmundam (Ct)
Malappuram,Tirur,Purathur
Malappuram,Tirur,Talakkad (Ct)
Malappuram,Tirur,Tanalur (Ct)
Malappuram,Tirur,Tanur
Malappuram,Tirur,Tanur
Malappuram,Tirur,Tanur
Malappuram,Tirur,Tanur
Malappuram,Tirur,Thirunavaya (Ct)
Malappuram,Tirur,Thrikandiyur
Malappuram,Tirur,Thrikandiyur
Malappuram,Tirur,Thrikandiyur
Malappuram,Tirur,Thrikandiyur
Malappuram,Tirur,Tirur
Malappuram,Tirur,Tirur
Malappuram,Tirur,Tirur
Malappuram,Tirur,Tirur
Malappuram,Tirur,Triprangode (Ct)
Malappuram,Tirur,Valavannur
Malappuram,Tirur,Vettom
Malappuram,Tirurangadi,Abdu Rahiman Nagar (Ct)
Malappuram,Tirurangadi,Ariyallur (Ct)
Malappuram,Tirurangadi,Ariyallur (Ct)
Malappuram,Tirurangadi,Edarikode
Malappuram,Tirurangadi,Kannamangalam (Ct)
Malappuram,Tirurangadi,Moonniyur (Ct)
Malappuram,Tirurangadi,Nannambra (Ct)
Malappuram,Tirurangadi,Neduva (Ct)
Malappuram,Tirurangadi,Neduva (Ct)
Malappuram,Tirurangadi,Othukkungal (Ct)
Malappuram,Tirurangadi,Parappanangadi
Malappuram,Tirurangadi,Parappur (Ct)
Malappuram,Tirurangadi,Peruvallur (Ct)
Malappuram,Tirurangadi,Thenhippalam (Ct)
Malappuram,Tirurangadi,Thennala (Ct)
Malappuram,Tirurangadi,Thennala (Ct)
Malappuram,Tirurangadi,Tirurangadi (Ct)
Malappuram,Tirurangadi,Urakam (Ct)
Malappuram,Tirurangadi,Vallikkunnu
Malappuram,Tirurangadi,Vengara (Ct)
Malappuram,Ponnani,Alamcode (Ct)
Malappuram,Ponnani,Edappal (Ct)
Malappuram,Ponnani,Ezhuvathiruthy
Malappuram,Ponnani,Kalady (Ct)
Malappuram,Ponnani,Marancheri (Ct)
Malappuram,Ponnani,Nannamukku
Malappuram,Ponnani,Perumpadappa
Malappuram,Ponnani,Ponnani Nagaram
Malappuram,Ponnani,Tavanur
Malappuram,Ponnani,Vattamkulam
Malappuram,Ponnani,Veliyankode
Malappuram,Kondotty,Cheekkode
Malappuram,Kondotty,Chelambra (Ct)
Malappuram,Kondotty,Cherukavu (Ct)
Malappuram,Kondotty,Kondotty (Ct)
Malappuram,Kondotty,Kuzhimanna
Malappuram,Kondotty,Morayur
Malappuram,Kondotty,Muthuvallur
Malappuram,Kondotty,Nediyiruppu
Malappuram,Kondotty,Pallikal (Ct)
Malappuram,Kondotty,Pulikkal
Malappuram,Kondotty,Vazhakkad
Malappuram,Kondotty,Vazhayur (Ct)
Palakkad,Ottappalam,Ambalapara - I
Palakkad,Ottappalam,Ambalapara - II
Palakkad,Ottappalam,Ananganadi
Palakkad,Ottappalam,Chalavara
Palakkad,Ottappalam,Cherpulacherry
Palakkad,Ottappalam,Kadampazhipuram-I
Palakkad,Ottappalam,Kadampazhipuram-Ii
Palakkad,Ottappalam,Karimpuzha-I
Palakkad,Ottappalam,Karimpuzha-Ii
Palakkad,Ottappalam,Lakkidi-Perur- I
Palakkad,Ottappalam,Lakkidi-Perur- II
Palakkad,Ottappalam,Nellaya
Palakkad,Ottappalam,Ottappalam I
Palakkad,Ottappalam,Ottappalam II
Palakkad,Ottappalam,Pookkottukavu
Palakkad,Ottappalam,Shornur I
Palakkad,Ottappalam,Shornur II
Palakkad,Ottappalam,Sreekrishnapuram -I
Palakkad,Ottappalam,Sreekrishnapuram -Ii
Palakkad,Ottappalam,Thrikkadeeri -I
Palakkad,Ottappalam,Thrikkadeeri -Ii
Palakkad,Ottappalam,Vaniyamkulam-I
Palakkad,Ottappalam,Vaniyamkulam- II (Ct)
Palakkad,Ottappalam,Vellinezhi
Palakkad,Mannarkad,Alanallur-I
Palakkad,Mannarkad,Alanallur-Ii
Palakkad,Mannarkad,Alanallur-Iii
Palakkad,Mannarkad,Karakurissi
Palakkad,Mannarkad,Karimba -I
Palakkad,Mannarkad,Karimba -Ii
Palakkad,Mannarkad,Kottoppadam-I
Palakkad,Mannarkad,Kottoppadam-Ii
Palakkad,Mannarkad,Kottoppadam-Iii
Palakkad,Mannarkad,Kumaramputhur
Palakkad,Mannarkad,Mannarkad-I (Ct)
Palakkad,Mannarkad,Mannarkad-Ii
Palakkad,Mannarkad,Palakkayam
Palakkad,Mannarkad,Payyanadam
Palakkad,Mannarkad,Pottassery- I
Palakkad,Mannarkad,Pottassery- II
Palakkad,Mannarkad,Thachampara
Palakkad,Mannarkad,Thachanattukara-I
Palakkad,Mannarkad,Thachanattukara-Ii
Palakkad,Palakkad,Akathethara
Palakkad,Palakkad,Elappully-I
Palakkad,Palakkad,Elappully-Ii
Palakkad,Palakkad,Kannadi-I
Palakkad,Palakkad,Kannadi-Ii
Palakkad,Palakkad,Keralassery
Palakkad,Palakkad,Kodumba
Palakkad,Palakkad,Kongad-I
Palakkad,Palakkad,Kongad-Ii
Palakkad,Palakkad,Malampuzha-I
Palakkad,Palakkad,Malampuzha-Ii
Palakkad,Palakkad,Mankara
Palakkad,Palakkad,Mannur
Palakkad,Palakkad,Marutharode (Ct)
Palakkad,Palakkad,Mundur-I
Palakkad,Palakkad,Mundur-Ii
Palakkad,Palakkad,Palakkad I
Palakkad,Palakkad,Palakkad II
Palakkad,Palakkad,Palakkad III
Palakkad,Palakkad,Parli-I
Palakkad,Palakkad,Parli-Ii
Palakkad,Palakkad,Peruvemba
Palakkad,Palakkad,Pirayiri (Ct)
Palakkad,Palakkad,Polpully
Palakkad,Palakkad,Pudussery Central (Ct)
Palakkad,Palakkad,Pudussery East
Palakkad,Palakkad,Pudussery West (Ct)
Palakkad,Palakkad,Puthuppariyaram 1
Palakkad,Palakkad,Puthuppariyaram-Ii
Palakkad,Palakkad,Yakkara
Palakkad,Chittur,Ayiloor
Palakkad,Chittur,Chittur (Part)
Palakkad,Chittur,Elavancherry
Palakkad,Chittur,Eruthempathy
Palakkad,Chittur,Kairady
Palakkad,Chittur,Koduvayur 1
Palakkad,Chittur,Koduvayur-Ii
Palakkad,Chittur,Kollengode-I
Palakkad,Chittur,Kollengode-Ii
Palakkad,Chittur,Kozhinjampara
Palakkad,Chittur,Kozhipathy
Palakkad,Chittur,Moolathara
Palakkad,Chittur,Muthalamada-I
Palakkad,Chittur,Muthalamada-Ii
Palakkad,Chittur,Nalleppilly
Palakkad,Chittur,Nelliyampathy
Palakkad,Chittur,Nemmara
Palakkad,Chittur,Ozhalapathy
Palakkad,Chittur,Pallassana
Palakkad,Chittur,Pattanchery
Palakkad,Chittur,Perumatty
Palakkad,Chittur,Puthunagaram (Ct)
Palakkad,Chittur,Thathamangalam (Part)
Palakkad,Chittur,Thekkedesom
Palakkad,Chittur,Thiruvazhiyad
Palakkad,Chittur,Vadakarapathy
Palakkad,Chittur,Vadavannur
Palakkad,Chittur,Valiyavallampathy
Palakkad,Chittur,Vallanghy
Palakkad,Chittur,Vandithavalam
Palakkad,Alathur,Alathur (Ct)
Palakkad,Alathur,Erimayur-I
Palakkad,Alathur,Erimayur-Ii
Palakkad,Alathur,Kannambra-I
Palakkad,Alathur,Kannambra-Ii
Palakkad,Alathur,Kavasseri-I
Palakkad,Alathur,Kavasseri-Ii
Palakkad,Alathur,Kizhakkencheri-I
Palakkad,Alathur,Kizhakkencheri-Ii
Palakkad,Alathur,Kottayi-I
Palakkad,Alathur,Kottayi-Ii
Palakkad,Alathur,Kuthannur-I
Palakkad,Alathur,Kuthannur-Ii
Palakkad,Alathur,Kuzhalmannam-I
Palakkad,Alathur,Kuzhalmannam-Ii
Palakkad,Alathur,Mangalam Dam
Palakkad,Alathur,Mathur -I
Palakkad,Alathur,Mathur -Ii
Palakkad,Alathur,Melarcode
Palakkad,Alathur,Peringottukurissi-I
Palakkad,Alathur,Peringottukurissi-Ii
Palakkad,Alathur,Puducode
Palakkad,Alathur,Tarur-I
Palakkad,Alathur,Tarur-Ii
Palakkad,Alathur,Thenkurissi-I
Palakkad,Alathur,Thenkurissi-Ii
Palakkad,Alathur,Vadakkancheri-I
Palakkad,Alathur,Vadakkancheri-Ii
Palakkad,Alathur,Vandazhi-I
